Publication,Scenario,Region,Category,Product,Flow,Unit,Year,Value
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total primary energy demand,EJ,2010,544.7
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total primary energy demand,EJ,2019,613
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total primary energy demand,EJ,2020,589.1
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total primary energy demand,EJ,2030,671
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total primary energy demand,EJ,2050,743.9
World Energy Outlook 2021,Stated Policies Scenario,North America,Energy,Total,Total primary energy demand,EJ,2010,112.6
World Energy Outlook 2021,Stated Policies Scenario,North America,Energy,Total,Total primary energy demand,EJ,2019,115.8
World Energy Outlook 2021,Stated Policies Scenario,North America,Energy,Total,Total primary energy demand,EJ,2020,107.7
World Energy Outlook 2021,Stated Policies Scenario,North America,Energy,Total,Total primary energy demand,EJ,2030,112.1
World Energy Outlook 2021,Stated Policies Scenario,North America,Energy,Total,Total primary energy demand,EJ,2050,106.2
World Energy Outlook 2021,Stated Policies Scenario,United States,Energy,Total,Total primary energy demand,EJ,2010,94.1
World Energy Outlook 2021,Stated Policies Scenario,United States,Energy,Total,Total primary energy demand,EJ,2019,94.8
World Energy Outlook 2021,Stated Policies Scenario,United States,Energy,Total,Total primary energy demand,EJ,2020,88.3
World Energy Outlook 2021,Stated Policies Scenario,United States,Energy,Total,Total primary energy demand,EJ,2030,90.9
World Energy Outlook 2021,Stated Policies Scenario,United States,Energy,Total,Total primary energy demand,EJ,2050,83.6
World Energy Outlook 2021,Stated Policies Scenario,Central and South America,Energy,Total,Total primary energy demand,EJ,2010,26.6
World Energy Outlook 2021,Stated Policies Scenario,Central and South America,Energy,Total,Total primary energy demand,EJ,2019,28.5
World Energy Outlook 2021,Stated Policies Scenario,Central and South America,Energy,Total,Total primary energy demand,EJ,2020,26.9
World Energy Outlook 2021,Stated Policies Scenario,Central and South America,Energy,Total,Total primary energy demand,EJ,2030,31.4
World Energy Outlook 2021,Stated Policies Scenario,Central and South America,Energy,Total,Total primary energy demand,EJ,2050,41
World Energy Outlook 2021,Stated Policies Scenario,Brazil,Energy,Total,Total primary energy demand,EJ,2010,12.1
World Energy Outlook 2021,Stated Policies Scenario,Brazil,Energy,Total,Total primary energy demand,EJ,2019,13.5
World Energy Outlook 2021,Stated Policies Scenario,Brazil,Energy,Total,Total primary energy demand,EJ,2020,13.1
World Energy Outlook 2021,Stated Policies Scenario,Brazil,Energy,Total,Total primary energy demand,EJ,2030,15.3
World Energy Outlook 2021,Stated Policies Scenario,Brazil,Energy,Total,Total primary energy demand,EJ,2050,19.8
World Energy Outlook 2021,Stated Policies Scenario,Europe,Energy,Total,Total primary energy demand,EJ,2010,89.2
World Energy Outlook 2021,Stated Policies Scenario,Europe,Energy,Total,Total primary energy demand,EJ,2019,82.4
World Energy Outlook 2021,Stated Policies Scenario,Europe,Energy,Total,Total primary energy demand,EJ,2020,77.5
World Energy Outlook 2021,Stated Policies Scenario,Europe,Energy,Total,Total primary energy demand,EJ,2030,75.5
World Energy Outlook 2021,Stated Policies Scenario,Europe,Energy,Total,Total primary energy demand,EJ,2050,69.9
World Energy Outlook 2021,Stated Policies Scenario,European Union,Energy,Total,Total primary energy demand,EJ,2010,64.5
World Energy Outlook 2021,Stated Policies Scenario,European Union,Energy,Total,Total primary energy demand,EJ,2019,59.5
World Energy Outlook 2021,Stated Policies Scenario,European Union,Energy,Total,Total primary energy demand,EJ,2020,55.5
World Energy Outlook 2021,Stated Policies Scenario,European Union,Energy,Total,Total primary energy demand,EJ,2030,52.4
World Energy Outlook 2021,Stated Policies Scenario,European Union,Energy,Total,Total primary energy demand,EJ,2050,45.1
World Energy Outlook 2021,Stated Policies Scenario,Africa,Energy,Total,Total primary energy demand,EJ,2010,28
World Energy Outlook 2021,Stated Policies Scenario,Africa,Energy,Total,Total primary energy demand,EJ,2019,34.6
World Energy Outlook 2021,Stated Policies Scenario,Africa,Energy,Total,Total primary energy demand,EJ,2020,34
World Energy Outlook 2021,Stated Policies Scenario,Africa,Energy,Total,Total primary energy demand,EJ,2030,42.4
World Energy Outlook 2021,Stated Policies Scenario,Africa,Energy,Total,Total primary energy demand,EJ,2050,61.8
World Energy Outlook 2021,Stated Policies Scenario,Middle East,Energy,Total,Total primary energy demand,EJ,2010,26.2
World Energy Outlook 2021,Stated Policies Scenario,Middle East,Energy,Total,Total primary energy demand,EJ,2019,32.9
World Energy Outlook 2021,Stated Policies Scenario,Middle East,Energy,Total,Total primary energy demand,EJ,2020,32.2
World Energy Outlook 2021,Stated Policies Scenario,Middle East,Energy,Total,Total primary energy demand,EJ,2030,39.3
World Energy Outlook 2021,Stated Policies Scenario,Middle East,Energy,Total,Total primary energy demand,EJ,2050,53.6
World Energy Outlook 2021,Stated Policies Scenario,Eurasia,Energy,Total,Total primary energy demand,EJ,2010,35.2
