year,oil,gas,coal,nuclear,hydro,renewables
1965,64.71922993,22.69367615,58.10464183,0.255397242,9.231979239,0.212359823
1966,69.6038521,24.72766029,58.76673785,0.344332903,9.83817037,0.231215506
1967,74.58859845,26.54654174,57.81891504,0.41006014,10.05742652,0.233647083
1968,80.91050063,28.95959338,58.68412804,0.521131641,10.59289008,0.255594131
1969,87.59681,31.80030504,60.47544903,0.617834116,11.21743221,0.267585976
1970,95.34382684,34.61325026,61.41098925,0.788746571,11.74647576,0.296672587
1971,100.7193631,37.05189358,61.07745333,1.097041774,12.27065005,0.320730095
1972,108.382446,39.10089278,61.77109226,1.521751488,12.84630368,0.345379968
1973,117.0779432,40.95619159,63.60425836,2.039015793,13.03009488,0.366161139
1974,115.4226525,41.96258844,63.65538438,2.666000934,14.31264984,0.383392266
1975,114.1485597,41.97998327,64.88833596,3.698481907,14.48889652,0.386165795
1976,121.5084355,44.47842084,67.27854603,4.32671421,14.43134706,0.427341311
1977,125.7135665,45.93854217,69.26865719,5.385478136,14.9167161,0.462709616
1978,131.3882333,47.86386534,70.04842946,6.25794396,16.14387725,0.505203231
1979,133.4616599,50.83199405,73.308712,6.508598947,16.95189194,0.555356261
1980,128.0201061,51.25725448,75.08736655,7.11924223,17.31652451,0.601449411
1981,123.4638643,51.82325775,76.13882218,8.407507617,17.68903725,0.629920879
1982,119.6376832,52.08835212,76.98756157,9.121775425,18.00908921,0.740691651
1983,118.7495607,52.93083558,79.36692726,10.3381271,18.77769376,0.840770746
1984,121.3474539,57.2464715,82.80393076,12.54568438,19.41375556,0.953967969
1985,121.4332557,58.54051365,86.35622316,14.88921637,19.79774848,1.007553005
1986,125.2341384,59.11303415,87.32905875,15.94735734,20.06571648,1.144170597
1987,127.742028,62.21145556,90.76490774,17.34733117,20.33706398,1.21057599
1988,132.0120892,65.11664894,93.48187086,18.91249267,20.98720984,1.254250244
1989,134.168812,67.93392772,94.37659611,19.45010586,20.87570913,1.401297508
1990,135.5997129,70.14382829,93.23069153,20.00462024,21.58906256,1.573602534
1991,135.6668729,71.9136818,92.32428027,20.96174705,22.09410404,1.650051097
1992,137.7221226,72.2403747,91.99179918,21.12089141,22.09074255,1.738508674
1993,137.0269717,72.96862539,92.44379418,21.84826061,23.41244792,1.808486323
1994,140.1256328,73.41588034,92.79871893,22.25844324,23.56881825,1.905984469
1995,142.3666988,75.99068261,93.45005008,23.22395978,24.85633411,1.999370429
1996,145.4852277,79.78830035,95.67557378,24.06801052,25.20498994,2.033861059
1997,149.369155,79.32352862,95.5124153,23.90276558,25.6613537,2.187239703
1998,149.9233156,80.7763552,94.91106897,24.3138043,25.86942015,2.310498007
1999,152.6892912,83.07333511,95.32034349,25.24361484,26.05676465,2.457205063
2000,154.3868486,86.38347572,98.73263175,25.80899081,26.51962539,2.639225772
2001,155.7303845,87.54425549,100.2906414,26.36535516,25.6710977,2.741554448
2002,157.0924374,90.1255732,104.2261088,26.61381257,25.97888076,3.117776431
2003,160.5844441,92.62759985,113.3558736,25.90769042,25.7707358,3.394264747
2004,166.6555637,96.1898007,121.2237233,26.91245858,27.48879108,3.880435808
2005,168.1527478,98.83332487,130.2036681,26.81245451,28.24143939,4.379078313
2006,169.9727573,101.4212509,137.0509235,26.97579034,29.13426452,5.020366686
2007,172.2317463,105.5490606,144.8149043,26.26091982,29.44615026,5.932927499
2008,170.4558418,108.1291153,146.7835111,26.01672544,30.95531491,7.112264826
2009,167.1197433,105.9064985,144.5696222,25.49039949,30.71804048,8.164727908
2010,172.5281719,113.7768436,151.2064832,25.98658902,32.24986471,9.629155597
2011,174.1909968,116.4851627,158.4740194,24.74753125,32.66261671,11.08263573
2012,176.6354877,119.5374578,159.0784487,22.91086492,33.84370561,12.60407648
2013,178.5406926,121.4869103,161.9731525,22.95491534,34.98658357,14.37567837
2014,179.6520455,122.4021627,162.498993,23.2833264,35.6777653,16.04169077
2015,183.6291523,125.2152752,158.6352783,23.45628814,35.38136237,18.09711241
2016,186.8691784,128.1109344,156.6059564,23.66435164,36.38205642,20.10918852
2017,189.5043743,131.5317382,157.3969724,23.73511222,36.60046448,23.05594323
2018,191.3281796,138.1642622,159.2603112,24.12727037,37.3703618,25.8794785
2019,191.8895268,140.5418485,157.6391438,24.92997196,37.68895542,28.82126788
2020,174.1990433,137.619984,151.4246689,23.98131853,38.16261735,31.71158469
