country,oil,gas,coal,nuclear,hydro,renewables,total
Canada,4.78,4.24,0.63,0.9,3.38,0.51,14.45
Mexico,3.24,3.17,0.54,0.1,0.21,0.3,7.55
United States,37.13,30.57,11.34,7.6,2.54,5.71,94.9
Total North America,45.15,37.98,12.52,8.59,6.14,6.52,116.9
Argentina,1.15,1.68,0.03,0.08,0.33,0.12,3.38
Brazil,4.81,1.29,0.65,0.14,3.55,1.99,12.42
Chile,0.76,0.23,0.31,n/a,0.19,0.18,1.68
Colombia,0.68,0.48,0.2,n/a,0.48,0.06,1.91
Ecuador,0.49,0.02,n/a,n/a,0.22,0.01,0.74
Peru,0.54,0.3,0.03,n/a,0.28,0.04,1.19
Trinidad & Tobago,0.08,0.63,n/a,n/a,n/a,0,0.71
Venezuela,0.59,0.92,0,n/a,0.43,0,1.95
Other S. & Cent. America,2.74,0.33,0.23,n/a,0.76,0.29,4.35
Total S. & Cent. America,11.84,5.88,1.45,0.22,6.25,2.69,28.33
Austria,0.55,0.32,0.12,n/a,0.36,0.15,1.5
Belgium,1.33,0.63,0.13,0.39,0,0.19,2.67
Czech Republic,0.42,0.3,0.6,0.27,0.02,0.09,1.7
Finland,0.39,0.07,0.15,0.22,0.11,0.19,1.13
France,3.14,1.57,0.27,3.56,0.5,0.63,9.67
Germany,4.66,3.19,2.25,0.67,0.18,2.1,13.05
Greece,0.64,0.19,0.22,n/a,0.04,0.12,1.19
Hungary,0.35,0.35,0.08,0.15,0,0.05,0.98
Italy,2.55,2.55,0.28,n/a,0.41,0.65,6.45
Netherlands,1.64,1.33,0.27,0.03,0,0.23,3.51
Norway,0.39,0.16,0.03,n/a,1.12,0.07,1.78
Poland,1.36,0.75,1.86,n/a,0.02,0.25,4.24
Portugal,0.5,0.22,0.05,n/a,0.08,0.18,1.03
Romania,0.45,0.39,0.21,0.1,0.14,0.1,1.38
Spain,2.7,1.3,0.16,0.52,0.2,0.73,5.6
Sweden,0.59,0.04,0.08,0.59,0.58,0.36,2.24
Switzerland,0.44,0.12,0,0.23,0.34,0.04,1.18
Turkey,2.01,1.56,1.76,n/a,0.79,0.39,6.51
Ukraine,0.48,1.02,1.08,0.74,0.06,0.05,3.42
England,3.08,2.78,0.22,0.5,0.05,1.09,7.73
Other Europe,2.59,1.08,1.34,0.34,0.6,0.58,6.53
Total Europe,30.27,19.93,11.13,8.29,5.6,8.24,83.46
Azerbaijan,0.21,0.42,0,n/a,0.01,0,0.65
Belarus,0.3,0.69,0.06,n/a,0,0,1.05
Kazakhstan,0.76,0.63,1.66,n/a,0.09,0.01,3.15
Russia,6.72,16,3.57,1.86,1.73,0.02,29.9
Turkmenistan,0.29,1.14,n/a,n/a,0,0,1.43
Uzbekistan,0.19,1.6,0.08,n/a,0.06,0,1.92
Other CIS,0.18,0.2,0.09,0.02,0.32,0,0.8
Total CIS,8.64,20.67,5.45,1.88,2.21,0.04,38.9
Iran,3.53,8.04,0.07,0.06,0.26,0.01,11.97
Iraq,1.47,0.7,n/a,n/a,0.02,0,2.2
Israel,0.5,0.39,0.21,n/a,n/a,0.03,1.13
Kuwait,0.83,0.83,0.01,n/a,n/a,0,1.67
Oman,0.48,0.9,0.01,n/a,n/a,0,1.39
Qatar,0.6,1.32,n/a,n/a,n/a,0,1.93
Saudi Arabia,6.67,4,0,n/a,n/a,0.01,10.68
United Arab Emirates,1.86,2.57,0.08,n/a,n/a,0.04,4.55
Other Middle East,1.09,0.84,0.01,n/a,0.02,0.03,1.99
Total Middle East,17.03,19.6,0.4,0.06,0.3,0.12,37.51
Algeria,0.85,1.63,0.02,n/a,0,0.01,2.5
Egypt,1.48,2.12,0.08,n/a,0.12,0.06,3.86
Morocco,0.56,0.04,0.28,n/a,0.01,0.06,0.94
South Africa,1.17,0.15,3.64,0.12,0.01,0.11,5.21
Other Africa,4.21,1.66,0.3,n/a,1.08,0.11,7.36
Total Africa,8.28,5.59,4.32,0.12,1.22,0.34,19.87
Australia,2.11,1.52,1.75,n/a,0.13,0.37,5.88
Bangladesh,0.38,1.11,0.14,n/a,0.01,0,1.64
China,27.94,11.1,81.79,3.11,11.34,6.75,142.03
China Hong Kong SAR,0.87,0.11,0.26,n/a,n/a,0,1.24
India,9.99,2.13,18.6,0.4,1.44,1.33,33.89
Indonesia,3.16,1.58,3.41,n/a,0.15,0.35,8.65
Japan,7.32,3.89,4.91,0.59,0.66,1.01,18.37
Malaysia,1.59,1.61,0.95,n/a,0.23,0.04,4.43
New Zealand,0.36,0.18,0.06,n/a,0.23,0.1,0.93
Pakistan,0.9,1.6,0.56,0.08,0.32,0.05,3.51
Philippines,0.91,0.15,0.73,n/a,0.07,0.15,2.02
Singapore,3.05,0.45,0.02,n/a,n/a,0.01,3.53
South Korea,5.16,2.02,3.44,1.3,0.02,0.3,12.25
Sri Lanka,0.25,n/a,0.06,n/a,0.04,0.01,0.36
Taiwan,1.98,0.84,1.67,0.29,0.05,0.07,4.9
Thailand,2.62,1.83,0.71,n/a,0.06,0.28,5.51
Vietnam,1.1,0.35,2.07,n/a,0.6,0.04,4.17
Other Asia Pacific,0.96,0.41,1.23,n/a,0.61,0.01,3.23
Total Asia Pacific,70.67,30.89,122.37,5.77,15.97,10.87,256.54
Total World,191.89,140.54,157.64,24.93,37.69,28.82,581.51
